date,settle,pre_cur_linear,pre_five_linear,pre_ten_linear,pre_cur_nlinear,pre_five_nl,pre_ten_nlinear
11/8/11,671,347.9165627,346.4531887,345.0985736,5.928080176,5.92442648,5.920724625
11/9/11,665,443.7073891,441.9779868,439.4631903,6.045740253,6.0424667,6.038406429
11/10/11,654.75,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
11/11/11,647.75,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
11/14/11,643.25,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
11/15/11,654.75,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
11/16/11,652,443.7073891,441.9779868,439.4631903,6.045740253,6.0424667,6.038406429
11/17/11,623.25,443.7073891,441.9779868,439.4631903,6.045740253,6.0424667,6.038406429
11/18/11,618,347.9165627,346.4531887,345.0985736,5.928080176,5.92442648,5.920724625
11/21/11,605,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
11/22/11,605.75,284.9362806,283.5514064,283.0374494,5.713827762,5.711534437,5.710594706
11/23/11,595.5,410.4461145,408.9026898,406.7067394,6.139057064,6.134049939,6.127588118
11/29/11,605.5,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
11/30/11,608,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
12/2/11,595.25,155.2138563,155.7040201,154.3310585,5.69682941,5.696001598,5.694838881
12/5/11,591,347.9165627,346.4531887,345.0985736,5.928080176,5.92442648,5.920724625
12/6/11,596.5,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
12/7/11,592.75,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
12/8/11,600.25,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
12/9/11,594.25,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
12/12/11,594,347.9165627,346.4531887,345.0985736,5.928080176,5.92442648,5.920724625
12/13/11,594.5,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
12/14/11,580.75,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
12/15/11,579,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
12/16/11,583,443.7073891,441.9779868,439.4631903,6.045740253,6.0424667,6.038406429
12/19/11,601,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
12/20/11,607,300.1236629,299.5041647,297.5620747,5.801151884,5.799482118,5.794557249
12/21/11,616.5,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
12/22/11,617.5,300.1236629,299.5041647,297.5620747,5.801151884,5.799482118,5.794557249
12/27/11,633.25,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
12/28/11,642.5,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
12/29/11,638,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
12/30/11,646.5,347.9165627,346.4531887,345.0985736,5.928080176,5.92442648,5.920724625
1/3/12,658.5,284.9362806,283.5514064,283.0374494,5.713827762,5.711534437,5.710594706
1/4/12,658.5,347.9165627,346.4531887,345.0985736,5.928080176,5.92442648,5.920724625
1/5/12,643.5,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
1/6/12,643.5,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
1/9/12,652,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
1/10/12,652,347.9165627,346.4531887,345.0985736,5.928080176,5.92442648,5.920724625
1/12/12,611.5,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
1/13/12,599.5,284.9362806,283.5514064,283.0374494,5.713827762,5.711534437,5.710594706
1/17/12,604,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
1/18/12,593.5,284.9362806,283.5514064,283.0374494,5.713827762,5.711534437,5.710594706
1/19/12,606,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
1/20/12,611.5,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
1/23/12,620,443.7073891,441.9779868,439.4631903,6.045740253,6.0424667,6.038406429
1/24/12,630.25,314.2517529,312.9754134,311.9398454,5.909821222,5.905917404,5.901613764
1/25/12,634.5,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
1/26/12,634.5,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
