"","date","retweet","favorite","score","type","settle"
"484","10/12/12",0,0,1,"Negative",752.75
"485","10/15/12",1,0,2,"Neutral",737.25
"486","10/16/12",0,0,2,"Neutral",738.25
"487","10/17/12",0,0,2,"Neutral",745.5
"488","10/18/12",1,0,2,"Neutral",760.75
"489","10/19/12",0,0,2,"Neutral",761.5
"490","10/22/12",0,0,1,"Negative",761.25
"491","10/23/12",0,0,2,"Neutral",756
"492","10/24/12",0,0,1,"Negative",754.5
"493","10/25/12",1,0,2,"Neutral",742
"494","10/26/12",1,0,1,"Negative",737.75
"495","10/29/12",0,0,1,"Negative",737
"496","10/30/12",0,0,2,"Neutral",741.75
"497","10/31/12",0,0,2,"Neutral",755.75
"498","11/01/12",0,0,1,"Negative",751
"499","11/02/12",0,0,2,"Neutral",742.5
"500","11/05/12",0,0,1,"Negative",738
"501","11/06/12",0,0,2,"Neutral",743
"502","11/07/12",0,0,2,"Neutral",746
"503","11/08/12",1,0,2,"Neutral",743.25
"504","11/09/12",0,0,1,"Negative",742
"505","11/12/12",0,0,2,"Neutral",722.25
"506","11/13/12",0,0,2,"Neutral",726.25
"507","11/14/12",0,0,1,"Negative",729.25
"508","11/15/12",0,0,3,"Positive",725
"509","11/16/12",0,0,1,"Negative",731
"510","11/19/12",0,0,1,"Negative",742.5
"511","11/20/12",0,0,2,"Neutral",747.25
"512","11/21/12",0,0,2,"Neutral",745.25
"513","11/23/12",0,0,2,"Neutral",749.75
"514","11/26/12",0,0,2,"Neutral",751.25
"515","11/27/12",0,0,2,"Neutral",764
"516","11/28/12",0,0,2,"Neutral",764
"517","11/29/12",0,0,2,"Neutral",758.75
"518","11/30/12",0,0,2,"Positive",752.75
"519","12/03/12",0,0,2,"Neutral",754.75
"520","12/04/12",0,0,2,"Neutral",752
"521","12/05/12",0,0,1,"Negative",757.75
"522","12/06/12",0,0,1,"Negative",751.5
"523","12/07/12",0,0,2,"Neutral",737.25
"524","12/10/12",0,1,2,"Neutral",730
"525","12/11/12",0,0,1,"Negative",728
"526","12/12/12",0,0,2,"Neutral",725.5
"527","12/13/12",0,0,1,"Negative",720.25
"528","12/14/12",1,0,1,"Negative",730.75
"529","12/17/12",0,0,2,"Neutral",724
"530","12/18/12",0,0,2,"Neutral",720
"531","12/19/12",0,0,1,"Negative",703
"532","12/20/12",0,0,2,"Neutral",696.5
"533","12/21/12",0,0,2,"Neutral",702
"534","12/24/12",0,0,2,"Neutral",704.25
"535","12/26/12",0,0,2,"Neutral",693.25
"536","12/27/12",0,0,1,"Negative",691.5
"537","12/28/12",0,0,2,"Positive",694
"538","12/31/12",0,0,1,"Negative",698.25
"539","01/02/13",0,1,2,"Neutral",690.75
"540","01/03/13",0,0,1,"Negative",689.25
"541","01/04/13",0,0,2,"Neutral",680.25
"542","01/07/13",1,0,2,"Neutral",685.5
"543","01/08/13",0,0,2,"Neutral",688.75
"544","01/09/13",1,1,2,"Positive",694.25
"545","01/10/13",0,0,2,"Neutral",698.75
"546","01/11/13",0,0,2,"Neutral",708.75
"547","01/14/13",0,0,2,"Neutral",724
"548","01/15/13",0,0,2,"Neutral",730.5
"549","01/16/13",0,0,2,"Neutral",731.25
"550","01/17/13",0,0,2,"Neutral",724.5
"551","01/18/13",1,0,2,"Neutral",727.5
"552","01/22/13",1,0,1,"Negative",728.5
"553","01/23/13",0,0,1,"Negative",720.75
"554","01/24/13",1,1,2,"Neutral",724.25
"555","01/25/13",0,0,2,"Neutral",720.75
"556","01/28/13",0,0,2,"Neutral",729.25
"557","01/29/13",1,0,1,"Negative",729.5
"558","01/30/13",0,1,2,"Positive",740.25
"559","01/31/13",0,0,1,"Negative",740.5
"560","02/01/13",0,0,1,"Negative",736
"561","02/04/13",0,0,2,"Neutral",736.25
"562","02/05/13",0,0,2,"Neutral",730.75
"563","02/06/13",1,0,2,"Neutral",724
"564","02/07/13",0,0,2,"Neutral",712
"565","02/08/13",1,0,2,"Neutral",708.75
"566","02/11/13",0,0,2,"Neutral",701.5
"567","02/12/13",1,1,2,"Neutral",695.5
"568","02/13/13",0,0,2,"Neutral",693.5
"569","02/14/13",0,0,1,"Negative",692.75
"570","02/15/13",0,0,1,"Negative",697
"571","02/19/13",1,0,1,"Negative",692
"572","02/20/13",1,0,2,"Neutral",696.25
"573","02/21/13",0,0,2,"Neutral",685.5
"574","02/22/13",0,0,2,"Neutral",684.25
"575","02/25/13",1,0,2,"Neutral",685.5
"576","02/26/13",0,0,3,"Positive",694.75
"577","02/27/13",0,0,2,"Neutral",695.25
"578","02/28/13",0,0,2,"Neutral",703.5
"579","03/01/13",0,0,2,"Neutral",708.5
"580","03/04/13",2,0,1,"Negative",703.25
"581","03/05/13",0,0,2,"Neutral",709
"582","03/06/13",0,0,1,"Negative",688.5
"583","03/07/13",0,0,1,"Negative",691.25
"584","03/08/13",0,1,1,"Negative",703.5
"585","03/11/13",1,0,1,"Negative",711.25
"586","03/12/13",0,0,2,"Neutral",714.25
"587","03/13/13",0,0,1,"Negative",710.25
"588","03/14/13",0,0,1,"Negative",716.5
"589","03/15/13",0,0,1,"Negative",717
"590","03/18/13",0,1,2,"Neutral",720
"591","03/19/13",0,0,2,"Neutral",728.5
"592","03/20/13",0,0,1,"Negative",732.5
"593","03/21/13",0,0,2,"Positive",733
"594","03/22/13",1,0,1,"Negative",726.25
"595","03/25/13",1,1,2,"Neutral",733.25
"596","03/26/13",0,0,1,"Negative",730.25
"597","03/27/13",0,0,1,"Negative",735.25
"598","03/28/13",0,0,2,"Neutral",695.25
"599","04/01/13",1,0,1,"Negative",642.25
"600","04/02/13",0,0,2,"Neutral",627.25
"601","04/03/13",0,0,2,"Neutral",630.25
"602","04/04/13",1,0,1,"Negative",618.5
"603","04/05/13",1,0,2,"Neutral",617.75
"604","04/08/13",0,0,2,"Neutral",619.5
"605","04/09/13",2,0,1,"Negative",627.5
"606","04/10/13",1,0,1,"Negative",632.5
"607","04/11/13",1,0,1,"Negative",633.5
"608","04/12/13",2,0,1,"Negative",641.25
"609","04/15/13",0,0,2,"Neutral",628
"610","04/16/13",1,1,1,"Negative",640.75
"611","04/17/13",0,1,1,"Negative",641.25
"612","04/18/13",1,1,2,"Neutral",629.75
"613","04/19/13",0,0,1,"Negative",633
"614","04/22/13",0,0,2,"Neutral",623.5
"615","04/23/13",0,0,1,"Negative",614
"616","04/24/13",1,0,1,"Negative",618.25
"617","04/25/13",0,0,1,"Negative",624.5
"618","04/26/13",0,0,2,"Neutral",619.75
"619","04/29/13",0,0,2,"Neutral",659.75
"620","04/30/13",0,0,1,"Negative",650
"621","05/01/13",1,1,2,"Neutral",646.75
"622","05/02/13",0,1,2,"Neutral",662
"623","05/03/13",0,0,2,"Neutral",661.25
"624","05/06/13",0,0,2,"Neutral",636.5
"625","05/07/13",0,0,1,"Negative",640
"626","05/08/13",0,1,2,"Neutral",633
"627","05/09/13",0,0,1,"Negative",648.75
"628","05/10/13",0,0,2,"Neutral",636.25
